Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Years,New_Item_Type
156,284,0,1163,7567,9,1,0,1,2540,4,1
8,57,2,1534,632,3,1,2,2,422,0,0
662,376,0,1246,3897,9,1,0,1,1639,4,1
1121,393,2,1376,5626,0,1,2,0,670,5,1
1297,265,1,336,848,1,0,2,1,865,7,2
758,297,2,6879,756,3,1,2,2,523,0,1
696,334,2,704,999,1,0,2,1,332,7,1
738,324,0,11859,2694,5,1,2,3,2658,8,1
440,363,2,1234,2224,7,1,1,1,930,3,1
990,393,2,10125,5883,2,1,1,1,2911,1,1
1171,314,0,4841,517,9,1,0,1,1246,4,1
147,386,2,5529,4009,8,2,0,1,1696,6,1
1142,350,2,10488,4070,9,1,0,1,1299,4,1
904,377,2,5758,3240,8,2,0,1,1671,6,1
375,365,0,7980,6262,1,0,2,1,1552,7,1
767,272,2,8035,953,8,2,0,1,1266,6,1
1280,314,1,238,3045,3,1,2,2,1322,0,2
767,272,2,8043,867,9,1,0,1,660,4,1
79,324,0,3873,2953,5,1,2,3,1765,8,0
968,331,0,10607,7054,6,2,1,1,2030,2,1
666,390,2,12292,7594,1,0,2,1,2558,7,1
1076,324,2,4069,4025,5,1,2,3,2672,8,1
1278,343,1,2500,6265,6,2,1,1,1297,2,2
259,324,0,6929,2690,4,2,0,0,207,8,1
843,336,2,2552,4916,8,2,0,1,2678,6,1
1294,327,1,10479,531,2,1,1,1,753,1,2
1024,184,2,7836,380,6,2,1,1,922,2,1
101,313,0,1538,242,1,0,2,1,300,7,0
350,58,2,12935,516,0,1,2,0,165,5,1
244,324,2,8332,439,4,2,0,0,100,8,1
1048,394,0,13120,926,0,1,2,0,144,5,1
1480,387,1,9120,2203,3,1,2,2,2026,0,2
756,388,0,10009,7775,3,1,2,2,2212,0,1
706,380,0,12184,2055,7,1,1,1,1687,3,1
64,376,0,10337,5309,8,2,0,1,1630,6,0
1533,293,1,9733,4129,9,1,0,1,2564,4,2
1032,324,2,7129,3631,5,1,2,3,2058,8,1
143,259,2,11160,3392,3,1,2,2,1314,0,0
1124,324,2,11674,155,5,1,2,3,374,8,1
214,324,0,2693,1828,5,1,2,3,1690,8,1
968,331,0,10608,7057,8,2,0,1,2408,6,1
567,291,0,2761,3541,1,0,2,1,1674,7,1
180,333,0,11392,6115,9,1,0,1,1901,4,1
236,415,0,8038,7866,3,1,2,2,3351,0,1
611,318,2,5096,3566,1,0,2,1,359,7,1
641,90,0,9754,5454,0,1,2,0,345,5,1
1438,397,1,1456,4418,7,1,1,1,1843,3,2
1057,293,0,2548,8034,7,1,1,1,3206,3,1
586,360,2,11576,1109,8,2,0,1,1932,6,1
869,324,2,13435,6286,4,2,0,0,709,8,1
1378,163,1,7958,4000,8,2,0,1,2247,6,2
642,295,0,12872,3891,1,0,2,1,762,7,1
830,292,2,3040,3122,1,0,2,1,733,7,1
177,304,0,7656,6259,2,1,1,1,2240,1,1
1442,318,1,3050,4335,2,1,1,1,2944,1,2
553,203,0,396,7547,3,1,2,2,3288,0,1
1538,280,1,5891,2621,7,1,1,1,1655,3,2
107,232,0,8310,201,9,1,0,1,724,4,0
1183,350,0,13199,6181,8,2,0,1,2976,6,1
485,324,0,7270,5542,4,2,0,0,793,8,1
629,293,0,4255,7490,3,1,2,2,2275,0,1
1039,208,2,4777,1815,7,1,1,1,921,3,1
361,324,0,604,207,5,1,2,3,456,8,1
1199,324,2,12659,741,4,2,0,0,124,8,1
1202,324,0,2594,7745,5,1,2,3,1912,8,1
266,378,0,13435,5783,0,1,2,0,173,5,1
441,395,0,3717,5208,6,2,1,1,2964,2,1
1218,334,2,8962,5810,7,1,1,1,960,3,1
72,377,0,4975,4907,7,1,1,1,1764,3,0
1343,246,1,12503,2174,8,2,0,1,1592,6,2
541,357,2,10795,5107,8,2,0,1,2408,6,1
586,360,2,11567,1052,1,0,2,1,559,7,1
453,384,0,6980,4902,7,1,1,1,2879,3,1
394,199,0,541,5969,2,1,1,1,1755,1,1
1552,196,1,13400,7698,9,1,0,1,3155,4,2
254,234,2,2270,2983,8,2,0,1,1757,6,1
781,326,0,3739,5198,9,1,0,1,1028,4,1
682,324,0,11195,1932,4,2,0,0,598,8,1
582,391,0,11129,2571,2,1,1,1,1298,1,1
1037,56,0,5354,6818,7,1,1,1,3081,3,1
316,193,0,7116,2439,8,2,0,1,1372,6,1
656,314,2,838,5552,8,2,0,1,1189,6,1
1053,369,0,5485,5891,3,1,2,2,2906,0,1
1379,324,1,13435,6186,4,2,0,0,545,8,2
829,324,2,3494,5159,5,1,2,3,2224,8,1
404,356,2,11816,5398,2,1,1,1,1875,1,1
1258,65,0,2466,4747,6,2,1,1,2012,2,1
811,324,2,4641,4545,5,1,2,3,2332,8,1
674,81,2,11675,2166,8,2,0,1,615,6,1
670,410,0,4720,3136,9,1,0,1,1250,4,1
1082,409,0,4820,3372,0,1,2,0,355,5,1
57,262,0,10791,278,9,1,0,1,636,4,0
82,397,0,3838,903,7,1,1,1,1160,3,0
178,398,0,6393,1008,6,2,1,1,579,2,1
1468,291,1,2302,3008,6,2,1,1,1077,2,2
970,324,0,326,3260,4,2,0,0,459,8,1
382,318,0,12055,7467,9,1,0,1,1045,4,1
231,252,2,8543,5866,6,2,1,1,2549,2,1
1442,324,1,3004,4272,5,1,2,3,2784,8,2
231,252,2,8546,5886,8,2,0,1,1110,6,1
940,330,0,7513,4319,7,1,1,1,1438,3,1
284,324,2,5570,5478,5,1,2,3,2090,8,1
1113,227,2,11306,5502,9,1,0,1,2605,4,1
7,369,2,2384,230,1,0,2,1,620,7,0
737,399,0,3849,6550,3,1,2,2,2276,0,1
438,372,2,5692,3874,1,0,2,1,1730,7,1
181,298,2,11332,4834,1,0,2,1,1432,7,1
400,106,2,9,3330,7,1,1,1,1905,3,1
36,324,0,13435,6902,4,2,0,0,628,8,0
111,339,0,4150,342,1,0,2,1,734,7,0
279,330,0,9046,7116,8,2,0,1,644,6,1
910,261,0,27,2464,2,1,1,1,2020,1,1
1099,324,2,7622,5396,4,2,0,0,162,8,1
1144,324,0,8290,3347,5,1,2,3,2685,8,1
1025,276,2,8917,5236,7,1,1,1,2258,3,1
288,171,0,3661,7286,9,1,0,1,3233,4,1
1228,370,2,12911,6095,2,1,1,1,2954,1,1
1251,170,0,8039,2753,6,2,1,1,1911,2,1
0,312,0,4883,3843,2,1,1,1,1918,1,0
1213,313,0,4778,6952,3,1,2,2,978,0,1
1317,327,1,4055,601,2,1,1,1,629,1,2
91,323,0,7441,4677,7,1,1,1,1631,3,0
